Nombre y peso,Precio,Descuentos,precio_actual,precio_sin_descuento
LOTE 2 kg de pechugas de pollo,6.39,-20.0,6.39,7.99
Salmón por medios o enteros peso aproximado pieza 4kg,10.99,-8.0,10.99,11.99
Lubina de ración pieza 400g aprox 2 uds,6.99,-30.0,,
LOTE 2kg de contramuslos de pollo,4.79,-20.0,4.79,5.99
LOTE 2kg de alas de pollo,3.99,-20.0,3.99,4.99
Cordero lechal por medios,16.99,-15.0,16.99,19.99
Filetes de añojo 1ªB,12.99,-16.0,12.99,15.49
Ragout de añojo,9.49,-27.0,9.49,12.99
LOTE: 250gr jamon GR + 250gr chorizo + 250gr queso curado,16.0,-17.0,16.0,19.33
LOTE 2 kg de traseros de pollo,3.19,-20.0,3.19,3.99
LOTE: 250gr jamón asado + 250gr pavo + 250gr queso en barra,11.33,-19.0,11.33,13.99
LOTE 2kg de jamoncitos de pollo,3.99,-20.0,3.99,4.99
Plátano canario Gabaceras,2.25,-26.0,2.25,3.05
Chuletas de cordero lechal por carres,27.99,-7.0,27.99,29.99
Croquetas de pollo y jamón,7.19,-20.0,7.19,8.99
Coliflor pieza 800g aproximadamente,1.25,-49.0,,
Piña premadurada,1.49,-27.0,1.49,2.03
Pera de agua,2.49,-8.0,2.49,2.7
Queso curado manteca De La Huz,20.99,-6.0,20.99,22.43
Repollo,1.39,-22.0,1.39,1.79
Chuleta de ternera blanca,14.99,-12.0,14.99,16.99
Mousse de pato 100% Capdevila,17.99,-5.0,17.99,18.99
Gamba cocida mediana fresca 80-90 piezas por kilo,15.99,-11.0,15.99,17.99
